run	request_id	opcode	peer	batch_size	data_bytes	status	request_queue_us	metadata_prepare_us	taskworker_prepare_us	poller_queue_us	data_transfer_us	metadata_settle_us	response_slot_wait_us	response_submit_us	response_transfer_us	data_tm_to_hixl_execute_async_us	data_tm_to_hixl_query_handle_us	response_tm_to_hixl_execute_async_us	response_tm_to_hixl_query_handle_us	total_us
stress_b32_run01	5	2	127.0.0.1:4502	108	7962624	SUCCESS	2835	15	209	227	2898	21	1	217	8263	18	94	102	13	14443
stress_b32_run01	6	2	127.0.0.1:4502	108	7962624	SUCCESS	3042	15	198	28	3099	21	1	226	7956	17	93	89	12	14543
stress_b32_run01	7	2	127.0.0.1:4502	108	7962624	SUCCESS	3228	14	205	702	3299	21	0	205	7662	18	90	89	14	14620
stress_b32_run01	8	2	127.0.0.1:4502	108	7962624	SUCCESS	3432	14	204	496	3480	20	0	216	7340	17	92	103	12	14691
stress_b32_run01	9	2	127.0.0.1:4502	108	7962624	SUCCESS	3635	15	230	264	3664	21	0	197	7029	41	95	79	12	14775
stress_b32_run01	10	2	127.0.0.1:4502	108	7962624	SUCCESS	3864	16	185	78	3860	20	0	228	6691	18	97	110	13	14848
stress_b32_run01	11	2	127.0.0.1:4502	108	7962624	SUCCESS	4048	15	205	3902	4751	23	1	211	5687	33	11	12	12	14925
stress_b32_run01	12	2	127.0.0.1:4502	108	7962624	SUCCESS	4252	14	172	3729	4880	21	1	155	5516	17	12	12	12	14997
stress_b32_run01	13	2	127.0.0.1:4502	108	7962624	SUCCESS	4424	34	255	3472	4874	22	1	144	5347	38	13	12	12	15067
stress_b32_run01	14	2	127.0.0.1:4502	108	7962624	SUCCESS	4669	15	188	3283	4922	23	1	144	5183	18	12	12	12	15129
stress_b32_run01	15	2	127.0.0.1:4502	108	7962624	SUCCESS	4856	34	213	3066	4941	21	1	144	5018	26	12	13	13	15193
stress_b32_run01	16	2	127.0.0.1:4502	108	7962624	SUCCESS	5069	14	170	2894	5044	20	1	144	4817	17	13	13	12	15264
stress_b32_run01	17	2	127.0.0.1:4502	108	7962624	SUCCESS	5239	33	221	2671	5105	22	0	195	4558	32	19	13	13	15340
stress_b32_run01	18	2	127.0.0.1:4502	108	7962624	SUCCESS	5458	15	173	2498	5217	21	1	181	4355	17	11	12	12	15405
stress_b32_run01	19	2	127.0.0.1:4502	108	7962624	SUCCESS	5630	33	223	2275	5269	20	1	198	4137	39	12	13	12	15478
stress_b32_run01	20	2	127.0.0.1:4502	108	7962624	SUCCESS	5852	16	184	2090	5378	22	0	146	3966	16	13	13	13	15548
stress_b32_run01	21	2	127.0.0.1:4502	108	7962624	SUCCESS	5952	33	209	1880	5405	24	0	143	3801	26	13	12	12	15534
stress_b32_run01	22	2	127.0.0.1:4502	108	7962624	SUCCESS	6158	15	171	1708	5473	21	0	141	3637	16	13	12	12	15601
stress_b32_run01	23	2	127.0.0.1:4502	108	7962624	SUCCESS	6326	41	234	1474	5471	20	1	143	3474	38	13	13	12	15669
stress_b32_run01	24	2	127.0.0.1:4502	108	7962624	SUCCESS	6558	14	173	1299	5554	20	1	144	3291	17	13	12	12	15740
stress_b32_run01	25	2	127.0.0.1:4502	108	7962624	SUCCESS	6730	37	219	1078	5576	23	1	147	3116	24	13	12	13	15812
stress_b32_run01	26	2	127.0.0.1:4502	108	7962624	SUCCESS	6947	19	174	903	5674	21	1	187	2875	16	12	12	12	15879
stress_b32_run01	27	2	127.0.0.1:4502	108	7962624	SUCCESS	7119	36	218	686	5740	21	1	157	2688	29	13	12	12	15944
stress_b32_run01	28	2	127.0.0.1:4502	108	7962624	SUCCESS	7334	18	173	512	5813	24	1	139	2533	16	12	12	11	16016
stress_b32_run01	29	2	127.0.0.1:4502	108	7962624	SUCCESS	7506	36	218	292	5824	22	0	148	2370	32	12	13	12	16087
stress_b32_run01	30	2	127.0.0.1:4502	108	7962624	SUCCESS	7722	20	192	99	5916	20	1	169	2132	24	12	13	12	16151
stress_b32_run01	3	2	127.0.0.1:4501	108	7962624	SUCCESS	3803	37	300	5804	7995	20	0	101	3679	12	7	5	4	15898
stress_b32_run01	4	2	127.0.0.1:4501	108	7962624	SUCCESS	4058	17	194	5609	7959	8	0	98	3577	8	5	5	4	15894
stress_b32_run01	5	2	127.0.0.1:4501	108	7962624	SUCCESS	4252	17	201	5406	7901	7	0	93	3487	15	5	5	4	15941
stress_b32_run01	6	2	127.0.0.1:4501	108	7962624	SUCCESS	4453	17	191	5214	7850	7	0	93	3390	11	5	5	4	15984
stress_b32_run01	7	2	127.0.0.1:4501	108	7962624	SUCCESS	4591	16	274	4939	7714	6	1	96	3289	14	5	5	5	15970
stress_b32_run01	8	2	127.0.0.1:4501	108	7962624	SUCCESS	4863	34	202	4736	7656	7	0	91	3192	9	5	5	5	16010
stress_b32_run01	9	2	127.0.0.1:4501	108	7962624	SUCCESS	5065	35	203	4531	7594	7	0	96	3088	14	5	5	4	16053
stress_b32_run01	10	2	127.0.0.1:4501	108	7962624	SUCCESS	5267	35	215	4314	7522	7	0	95	2985	9	5	5	4	16090
stress_b32_run01	11	2	127.0.0.1:4501	108	7962624	SUCCESS	5469	37	205	4107	7455	7	1	96	2883	14	5	5	4	16116
stress_b32_run01	12	2	127.0.0.1:4501	108	7962624	SUCCESS	5628	38	234	3871	7364	7	0	99	2780	10	5	5	4	16111
stress_b32_run01	13	2	127.0.0.1:4501	108	7962624	SUCCESS	5860	17	239	3632	7280	7	1	112	2651	16	5	5	4	16150
stress_b32_run01	14	2	127.0.0.1:4501	108	7962624	SUCCESS	6099	33	278	3352	7160	6	1	96	2552	11	5	5	5	16193
stress_b32_run01	15	2	127.0.0.1:4501	108	7962624	SUCCESS	6152	34	268	3082	7036	6	1	99	2447	14	5	5	5	16009
stress_b32_run01	16	2	127.0.0.1:4501	108	7962624	SUCCESS	6385	36	262	2819	6922	6	1	97	2344	14	5	5	4	16016
stress_b32_run01	17	2	127.0.0.1:4501	108	7962624	SUCCESS	6645	37	197	2621	6865	7	1	102	2241	11	5	5	4	16057
