run	request	transfer_elapsed_us	transfer_bytes	op_desc_count	query_total_us
stress_tp8_b4_run02_stage_trace	0x39	2188	63	1	1
stress_tp8_b4_run02_stage_trace	0x3a	2028	63	1	1
stress_tp8_b4_run02_stage_trace	0x3b	1875	63	1	2
stress_tp8_b4_run02_stage_trace	0x29	1727	63	1	1
stress_tp8_b4_run02_stage_trace	0x2a	1602	63	1	0
stress_tp8_b4_run02_stage_trace	0x2b	1483	63	1	1
stress_tp8_b4_run02_stage_trace	0x2c	1373	63	1	1
stress_tp8_b4_run02_stage_trace	0x2d	1259	63	1	1
stress_tp8_b4_run02_stage_trace	0x2e	1143	63	1	1
stress_tp8_b4_run02_stage_trace	0x2f	1000	63	1	1
stress_tp8_b4_run02_stage_trace	0x30	898	63	1	1
stress_tp8_b4_run02_stage_trace	0x3c	453	10	1	7
stress_tp8_b4_run02_stage_trace	0x3d	263	10	1	3
stress_tp8_b4_run02_stage_trace	0x3e	201	10	1	2
stress_tp8_b4_run02_stage_trace	0x3f	134	10	1	2
stress_tp8_b4_run02_stage_trace	0x40	482	3538944	48	4
stress_tp8_b4_run02_stage_trace	0x41	136	33	1	3
stress_tp8_b4_run02_stage_trace	0x42	408	10	1	7
stress_tp8_b4_run02_stage_trace	0x43	235	10	1	6
stress_tp8_b4_run02_stage_trace	0x44	214	10	1	3
stress_tp8_b4_run02_stage_trace	0x45	149	10	1	2
stress_tp8_b4_run02_stage_trace	0x46	531	33	1	4
