bucket	run	request_id	opcode	peer	stage	value_us
ge_1000	stress_b32_run01	13	2	127.0.0.1:4502	poller_queue_us	3472
ge_1000	stress_b32_run01	13	2	127.0.0.1:4502	data_transfer_us	4874
ge_1000	stress_b32_run01	13	2	127.0.0.1:4502	response_transfer_us	5347
ge_1000	stress_b32_run01	13	2	127.0.0.1:4502	total_us	15067
ge_1000	stress_b32_run01	14	2	127.0.0.1:4502	request_queue_us	4669
ge_1000	stress_b32_run01	14	2	127.0.0.1:4502	poller_queue_us	3283
ge_1000	stress_b32_run01	14	2	127.0.0.1:4502	data_transfer_us	4922
ge_1000	stress_b32_run01	14	2	127.0.0.1:4502	response_transfer_us	5183
ge_1000	stress_b32_run01	14	2	127.0.0.1:4502	total_us	15129
ge_1000	stress_b32_run01	15	2	127.0.0.1:4502	request_queue_us	4856
ge_1000	stress_b32_run01	15	2	127.0.0.1:4502	poller_queue_us	3066
ge_1000	stress_b32_run01	15	2	127.0.0.1:4502	data_transfer_us	4941
ge_1000	stress_b32_run01	15	2	127.0.0.1:4502	response_transfer_us	5018
ge_1000	stress_b32_run01	15	2	127.0.0.1:4502	total_us	15193
ge_1000	stress_b32_run01	16	2	127.0.0.1:4502	request_queue_us	5069
ge_1000	stress_b32_run01	16	2	127.0.0.1:4502	poller_queue_us	2894
ge_1000	stress_b32_run01	16	2	127.0.0.1:4502	data_transfer_us	5044
ge_1000	stress_b32_run01	16	2	127.0.0.1:4502	response_transfer_us	4817
ge_1000	stress_b32_run01	16	2	127.0.0.1:4502	total_us	15264
ge_1000	stress_b32_run01	17	2	127.0.0.1:4502	request_queue_us	5239
ge_1000	stress_b32_run01	17	2	127.0.0.1:4502	poller_queue_us	2671
ge_1000	stress_b32_run01	17	2	127.0.0.1:4502	data_transfer_us	5105
ge_1000	stress_b32_run01	17	2	127.0.0.1:4502	response_transfer_us	4558
ge_1000	stress_b32_run01	17	2	127.0.0.1:4502	total_us	15340
ge_1000	stress_b32_run01	18	2	127.0.0.1:4502	request_queue_us	5458
ge_1000	stress_b32_run01	18	2	127.0.0.1:4502	poller_queue_us	2498
ge_1000	stress_b32_run01	18	2	127.0.0.1:4502	data_transfer_us	5217
ge_1000	stress_b32_run01	18	2	127.0.0.1:4502	response_transfer_us	4355
ge_1000	stress_b32_run01	18	2	127.0.0.1:4502	total_us	15405
ge_1000	stress_b32_run01	19	2	127.0.0.1:4502	request_queue_us	5630
ge_1000	stress_b32_run01	19	2	127.0.0.1:4502	poller_queue_us	2275
ge_1000	stress_b32_run01	19	2	127.0.0.1:4502	data_transfer_us	5269
ge_1000	stress_b32_run01	19	2	127.0.0.1:4502	response_transfer_us	4137
ge_1000	stress_b32_run01	19	2	127.0.0.1:4502	total_us	15478
ge_1000	stress_b32_run01	20	2	127.0.0.1:4502	request_queue_us	5852
ge_1000	stress_b32_run01	20	2	127.0.0.1:4502	poller_queue_us	2090
ge_1000	stress_b32_run01	20	2	127.0.0.1:4502	data_transfer_us	5378
ge_1000	stress_b32_run01	20	2	127.0.0.1:4502	response_transfer_us	3966
ge_1000	stress_b32_run01	20	2	127.0.0.1:4502	total_us	15548
ge_1000	stress_b32_run01	21	2	127.0.0.1:4502	request_queue_us	5952
