[2026-08-24 19:21:34.068608][UC][I] [METRIC DEBUG] HIXL transport GetStatus START:2359242444745 [878,891][hixl_transport.cpp:701,GetStatus]
[2026-08-24 19:21:34.068610][UC][I] [METRIC DEBUG] HIXL transport GetStatus get lifecycle_lock:2359242444747 [878,891][hixl_transport.cpp:709,GetStatus]
[2026-08-24 19:21:34.068613][UC][I] [METRIC DEBUG] HIXL transport GetStatus get pending_mutex_:2359242444749 [878,891][hixl_transport.cpp:721,GetStatus]
[2026-08-24 19:21:34.068615][UC][I] [METRIC DEBUG] HIXL instance GetTransferStatus START:2359242444752 [878,891][hixl_instance.cpp:326,GetTransferStatus]
[2026-08-24 19:21:34.068623][UC][I] [METRIC DEBUG] HIXL instance GetTransferStatus RUN:2359242444760 [878,916][hixl_instance.cpp:331,operator()]
[2026-08-24 19:21:34.068633][UC][I] [METRIC DEBUG] HIXL transport GetStatus get task status:2359242444770 [878,891][hixl_transport.cpp:725,GetStatus]
[2026-08-24 19:21:34.068641][UC][I] [METRIC DEBUG] HIXL transport GetStatus return:2359242444777 [878,891][hixl_transport.cpp:740,GetStatus]
[2026-08-24 19:21:34.068645][UC][I] [METRIC DEBUG] TransportManager GetStatus get task status:2359242444781 [878,891][transport_manager.cpp:721,GetStatus]
[2026-08-24 19:21:34.068648][UC][I] [METRIC DEBUG] TransportManager GetStatus return:2359242444784 [878,891][transport_manager.cpp:746,GetStatus]
[2026-08-24 19:21:34.068651][UC][I] [METRIC DEBUG] TransportManager GetStatus START:2359242444788 [878,891][transport_manager.cpp:706,GetStatus]
[2026-08-24 19:21:34.068653][UC][I] [METRIC DEBUG] TransportManager GetStatus get record:2359242444790 [878,891][transport_manager.cpp:718,GetStatus]
[2026-08-24 19:21:34.068656][UC][I] [METRIC DEBUG] HIXL transport GetStatus START:2359242444793 [878,891][hixl_transport.cpp:701,GetStatus]
[2026-08-24 19:21:34.068662][UC][I] [METRIC DEBUG] HIXL transport GetStatus get lifecycle_lock:2359242444799 [878,891][hixl_transport.cpp:709,GetStatus]
[2026-08-24 19:21:34.068666][UC][I] [METRIC DEBUG] HIXL transport GetStatus get pending_mutex_:2359242444803 [878,891][hixl_transport.cpp:721,GetStatus]
[2026-08-24 19:21:34.068672][UC][I] [METRIC DEBUG] HIXL instance GetTransferStatus START:2359242444809 [878,891][hixl_instance.cpp:326,GetTransferStatus]
[2026-08-24 19:21:34.068688][UC][I] [METRIC DEBUG] HIXL instance GetTransferStatus RUN:2359242444825 [878,916][hixl_instance.cpp:331,operator()]
[2026-08-24 19:21:34.068699][UC][I] [METRIC DEBUG] HIXL transport GetStatus get task status:2359242444836 [878,891][hixl_transport.cpp:725,GetStatus]
[2026-08-24 19:21:34.068704][UC][I] [METRIC DEBUG] HIXL transport GetStatus return:2359242444841 [878,891][hixl_transport.cpp:740,GetStatus]
[2026-08-24 19:21:34.068707][UC][I] [METRIC DEBUG] TransportManager GetStatus get task status:2359242444843 [878,891][transport_manager.cpp:721,GetStatus]
[2026-08-24 19:21:34.068710][UC][I] [METRIC DEBUG] TransportManager GetStatus return:2359242444847 [878,891][transport_manager.cpp:746,GetStatus]
[2026-08-24 19:21:34.068713][UC][I] [METRIC DEBUG] TransportManager GetStatus START:2359242444850 [878,891][transport_manager.cpp:706,GetStatus]
[2026-08-24 19:21:34.068715][UC][I] [METRIC DEBUG] TransportManager GetStatus get record:2359242444852 [878,891][transport_manager.cpp:718,GetStatus]
[2026-08-24 19:21:34.068717][UC][I] [METRIC DEBUG] HIXL transport GetStatus START:2359242444854 [878,891][hixl_transport.cpp:701,GetStatus]
[2026-08-24 19:21:34.068720][UC][I] [METRIC DEBUG] HIXL transport GetStatus get lifecycle_lock:2359242444857 [878,891][hixl_transport.cpp:709,GetStatus]
[2026-08-24 19:21:34.068723][UC][I] [METRIC DEBUG] HIXL transport GetStatus get pending_mutex_:2359242444859 [878,891][hixl_transport.cpp:721,GetStatus]
[2026-08-24 19:21:34.068725][UC][I] [METRIC DEBUG] HIXL instance GetTransferStatus START:2359242444862 [878,891][hixl_instance.cpp:326,GetTransferStatus]
[2026-08-24 19:21:34.068732][UC][I] [METRIC DEBUG] HIXL instance GetTransferStatus RUN:2359242444868 [878,916][hixl_instance.cpp:331,operator()]
[2026-08-24 19:21:34.068740][UC][I] [METRIC DEBUG] HIXL transport GetStatus get task status:2359242444877 [878,891][hixl_transport.cpp:725,GetStatus]
[2026-08-24 19:21:34.068744][UC][I] [METRIC DEBUG] HIXL transport GetStatus return:2359242444881 [878,891][hixl_transport.cpp:740,GetStatus]
[2026-08-24 19:21:34.068747][UC][I] [METRIC DEBUG] TransportManager GetStatus get task status:2359242444883 [878,891][transport_manager.cpp:721,GetStatus]
[2026-08-24 19:21:34.068749][UC][I] [METRIC DEBUG] TransportManager GetStatus return:2359242444886 [878,891][transport_manager.cpp:746,GetStatus]
[2026-08-24 19:21:34.068752][UC][I] [METRIC DEBUG] TransportManager GetStatus START:2359242444889 [878,891][transport_manager.cpp:706,GetStatus]
[2026-08-24 19:21:34.068754][UC][I] [METRIC DEBUG] TransportManager GetStatus get record:2359242444891 [878,891][transport_manager.cpp:718,GetStatus]
[2026-08-24 19:21:34.068757][UC][I] [METRIC DEBUG] HIXL transport GetStatus START:2359242444893 [878,891][hixl_transport.cpp:701,GetStatus]
[2026-08-24 19:21:34.068760][UC][I] [METRIC DEBUG] HIXL transport GetStatus get lifecycle_lock:2359242444897 [878,891][hixl_transport.cpp:709,GetStatus]
[2026-08-24 19:21:34.068762][UC][I] [METRIC DEBUG] HIXL transport GetStatus get pending_mutex_:2359242444899 [878,891][hixl_transport.cpp:721,GetStatus]
[2026-08-24 19:21:34.068765][UC][I] [METRIC DEBUG] HIXL instance GetTransferStatus START:2359242444902 [878,891][hixl_instance.cpp:326,GetTransferStatus]
[2026-08-24 19:21:34.068772][UC][I] [METRIC DEBUG] HIXL instance GetTransferStatus RUN:2359242444908 [878,916][hixl_instance.cpp:331,operator()]
[2026-08-24 19:21:34.068780][UC][I] [METRIC DEBUG] HIXL transport GetStatus get task status:2359242444917 [878,891][hixl_transport.cpp:725,GetStatus]
[2026-08-24 19:21:34.068784][UC][I] [METRIC DEBUG] HIXL transport GetStatus return:2359242444921 [878,891][hixl_transport.cpp:740,GetStatus]
[2026-08-24 19:21:34.068787][UC][I] [METRIC DEBUG] TransportManager GetStatus get task status:2359242444924 [878,891][transport_manager.cpp:721,GetStatus]
[2026-08-24 19:21:34.068790][UC][I] [METRIC DEBUG] TransportManager GetStatus return:2359242444926 [878,891][transport_manager.cpp:746,GetStatus]
[2026-08-24 19:21:34.068793][UC][I] [METRIC DEBUG] TransportManager GetStatus START:2359242444929 [878,891][transport_manager.cpp:706,GetStatus]
[2026-08-24 19:21:34.068801][UC][I] [METRIC DEBUG] TransportManager GetStatus get record:2359242444937 [878,891][transport_manager.cpp:718,GetStatus]
[2026-08-24 19:21:34.068804][UC][I] [METRIC DEBUG] HIXL transport GetStatus START:2359242444940 [878,891][hixl_transport.cpp:701,GetStatus]
[2026-08-24 19:21:34.068807][UC][I] [METRIC DEBUG] HIXL transport GetStatus get lifecycle_lock:2359242444943 [878,891][hixl_transport.cpp:709,GetStatus]
[2026-08-24 19:21:34.068809][UC][I] [METRIC DEBUG] HIXL transport GetStatus get pending_mutex_:2359242444946 [878,891][hixl_transport.cpp:721,GetStatus]
[2026-08-24 19:21:34.068812][UC][I] [METRIC DEBUG] HIXL instance GetTransferStatus START:2359242444949 [878,891][hixl_instance.cpp:326,GetTransferStatus]
